#det-num (side), patch-number (position), X-center, Y-center, Z-Center, X-Norm, Y-Norm, Z-Norm, X-HalfWidth, Y-HalfWidth, Z-HalfWidth
# left
3, 0, 93.33, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 1, 93.33, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 2, 93.33, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 3, 93.33, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
3, 4, 136.00, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 5, 136.00, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 6, 136.00, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 7, 136.00, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
3, 8, 178.67, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 9, 178.67, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 10, 178.67, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 11, 178.67, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
