#det-num (side), patch-number (position), X-center, Y-center, Z-Center, X-Norm, Y-Norm, Z-Norm, X-HalfWidth, Y-HalfWidth, Z-HalfWidth
# right
2, 0, 93.33, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 1, 93.33, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 2, 93.33, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 3, 93.33, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
2, 4, 136.00, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 5, 136.00, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 6, 136.00, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 7, 136.00, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
2, 8, 178.67, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 9, 178.67, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 10, 178.67, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 11, 178.67, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
