#det-num (side), patch-number (position), X-center, Y-center, Z-Center, X-Norm, Y-Norm, Z-Norm, X-HalfWidth, Y-HalfWidth, Z-HalfWidth
# back
0, 0, 72.00, 42.50, 15.67, -1, 0, 0,  0.00, 29.00, 15.67
0, 1, 72.00, 42.50, 47.02, -1, 0, 0,  0.00, 29.00, 15.67
0, 2, 72.00, 42.50, 78.36, -1, 0, 0,  0.00, 29.00, 15.67
0, 3, 72.00, 42.50, 109.70, -1, 0, 0,  0.00, 29.00, 15.67
0, 4, 72.00, 100.50, 15.67, -1, 0, 0,  0.00, 29.00, 15.67
0, 5, 72.00, 100.50, 47.02, -1, 0, 0,  0.00, 29.00, 15.67
0, 6, 72.00, 100.50, 78.36, -1, 0, 0,  0.00, 29.00, 15.67
0, 7, 72.00, 100.50, 109.70, -1, 0, 0,  0.00, 29.00, 15.67
# front
1, 0, 200.00, 42.50, 15.67, 1, 0, 0,  0.00, 29.00, 15.67
1, 1, 200.00, 42.50, 47.02, 1, 0, 0,  0.00, 29.00, 15.67
1, 2, 200.00, 42.50, 78.36, 1, 0, 0,  0.00, 29.00, 15.67
1, 3, 200.00, 42.50, 109.70, 1, 0, 0,  0.00, 29.00, 15.67
1, 4, 200.00, 100.50, 15.67, 1, 0, 0,  0.00, 29.00, 15.67
1, 5, 200.00, 100.50, 47.02, 1, 0, 0,  0.00, 29.00, 15.67
1, 6, 200.00, 100.50, 78.36, 1, 0, 0,  0.00, 29.00, 15.67
1, 7, 200.00, 100.50, 109.70, 1, 0, 0,  0.00, 29.00, 15.67
# right
2, 0, 93.33, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 1, 93.33, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 2, 93.33, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 3, 93.33, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
2, 4, 136.00, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 5, 136.00, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 6, 136.00, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 7, 136.00, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
2, 8, 178.67, 13.50, 15.67, 0, -1, 0, 21.33,  0.00, 15.67
2, 9, 178.67, 13.50, 47.02, 0, -1, 0, 21.33,  0.00, 15.67
2, 10, 178.67, 13.50, 78.36, 0, -1, 0, 21.33,  0.00, 15.67
2, 11, 178.67, 13.50, 109.70, 0, -1, 0, 21.33,  0.00, 15.67
# left
3, 0, 93.33, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 1, 93.33, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 2, 93.33, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 3, 93.33, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
3, 4, 136.00, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 5, 136.00, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 6, 136.00, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 7, 136.00, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
3, 8, 178.67, 129.50, 15.67, 0, 1, 0, 21.33,  0.00, 15.67
3, 9, 178.67, 129.50, 47.02, 0, 1, 0, 21.33,  0.00, 15.67
3, 10, 178.67, 129.50, 78.36, 0, 1, 0, 21.33,  0.00, 15.67
3, 11, 178.67, 129.50, 109.70, 0, 1, 0, 21.33,  0.00, 15.67
# bottom
4, 0, 93.33, 42.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
4, 1, 93.33, 100.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
4, 2, 136.00, 42.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
4, 3, 136.00, 100.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
4, 4, 178.67, 42.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
4, 5, 178.67, 100.50,  0.00, 0, 0, -1, 21.33, 29.00,  0.00
# top
5, 0, 93.33, 42.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
5, 1, 93.33, 100.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
5, 2, 136.00, 42.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
5, 3, 136.00, 100.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
5, 4, 178.67, 42.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
5, 5, 178.67, 100.50, 125.38, 0, 0, -1, 21.33, 29.00,  0.00
